LSOA11CD,centroid_x,centroid_y
E01032504,425803.285,442661.831
E01032502,424936.797,438926.118000001
E01032503,424436.105,443023.218
E01032500,426509.387,433685.112
E01032501,424688.965,439321.698000001
E01011646,433291.068,436458.695
E01011647,432292.206,436060.266000001
E01011645,432396.818,436779.942
E01011642,431998.095,436662.423
E01011643,433157.695,436816.75
E01011641,431830.929,437351.579
E01011648,432755.206,436119.787
E01011649,434588.123,439801.77
E01011466,431211.374,428672.066
E01011467,430956.175,431744.776000001
E01011464,424980.643,437966.115
E01011465,423768.012,437589.018999999
E01011462,424160.877,437917.476
E01011463,424628.31,438038.331
E01011460,424394.863,438408.054
E01011461,423093.006,438182.526000001
E01011468,431494.616,431272.390000001
E01011469,431788.52,429307.004000001
E01033002,430406.34,434417.567
E01033003,430554.262,434423.195
E01033008,429523.295,433387.132999999
E01011306,440979.493,430576.563999999
E01011307,441221.565,428372.169
E01011386,426941.23,439503.437000001
E01011304,441694.972,430099.084000001
E01011385,427816.811,439233.828
E01011305,441238.652,430088.364
E01011384,425100.149,439745.761
E01011302,441878.871,430768.34
E01011383,426309.875,439570.913000001
E01011382,424686.931,439841.095000001
E01011300,441001.645,431114.233999999
E01011381,426592.609,440267.729
E01011301,441415.507,430932.551000001
E01011380,427706.775,439649.0
E01011308,440639.211,428850.944
E01011309,440637.409,437590.785
E01011388,425447.746,439228.689999999
E01011266,418030.266,442249.607000001
E01011267,419747.078,441929.202
E01011264,421008.295,441621.422
E01011265,419078.012,441992.083000001
E01011268,420270.748,441812.964
E01011556,431088.588,439498.994999999
E01011557,431040.145,439894.329
E01011555,429949.679,439777.271
E01011552,429032.605,425634.370999999
E01011553,428534.896,425802.41
E01011550,427724.855,426066.398
E01011551,430834.567,425775.822000001
E01011558,430137.21,439366.913000001
E01011559,429418.141,439010.034
E01032606,425193.182,434032.934
E01032607,426391.445,433466.458000001
E01032608,426274.138,433711.164999999
E01033021,431477.806,433260.147
E01011326,424874.733,435809.941
E01011327,423003.374,435665.202
E01011324,425743.302,435550.174000001
E01011325,424312.772,435936.606000001
E01011322,429069.543,429550.030999999
E01011323,424448.97,435522.465
E01011320,429038.753,430003.242000001
E01011321,428542.273,429856.982999999
E01011328,422647.349,435229.061000001
E01011329,423846.903,435435.037
E01011297,443218.464,436352.15
E01011296,440068.397,436927.273
E01011295,425268.535,435027.657
E01011294,427804.039,433273.108999999
E01011293,427446.14,433457.845000001
E01011292,427103.244,433316.734999999
E01011299,442199.707,427791.333000001
E01011298,444436.457,432875.945
E01011576,425417.464,443375.486
E01011572,420790.808,445262.975
E01011573,418736.362,444818.619999999
E01011570,424644.679,444991.418
E01011571,419570.877,445115.450999999
E01011578,421457.985,440845.774
E01011579,421291.881,440089.185000001
E01011426,431578.538,435717.151000001
E01011427,432528.649,435555.573000001
E01011424,432872.964,435684.545
E01011425,433997.185,436184.997
E01011422,431839.542,435811.946
E01011423,433356.248,435813.358999999
E01011420,435572.549,432982.391000001
E01011421,433546.734,436135.927999999
E01011428,431962.747,435507.249
E01011429,431645.135,435410.494000001
