LSOA11CD,geography,total_population
E01011698,Leeds 001A,1462
E01011699,Leeds 001B,1289
E01011701,Leeds 001C,1367
E01011702,Leeds 001D,1648
E01011703,Leeds 001E,1224
E01011697,Leeds 002A,2285
E01011700,Leeds 002B,1482
E01011704,Leeds 002C,2229
E01011705,Leeds 002D,1369
E01011581,Leeds 003A,1660
E01011582,Leeds 003B,1613
E01011583,Leeds 003C,1574
E01011584,Leeds 003D,1682
E01011569,Leeds 004A,1731
E01011571,Leeds 004B,1609
E01011572,Leeds 004C,1776
E01011573,Leeds 004D,1311
E01011574,Leeds 004E,1401
E01011707,Leeds 005A,1295
E01011709,Leeds 005B,2047
E01011710,Leeds 005C,1414
E01011711,Leeds 005D,1417
E01011712,Leeds 005E,1448
E01011561,Leeds 006A,1186
E01011696,Leeds 006B,1549
E01011706,Leeds 006C,1534
E01011708,Leeds 006D,1471
E01011713,Leeds 006E,1785
E01011570,Leeds 007A,2305
E01011576,Leeds 007C,1463
E01032503,Leeds 007E,1447
E01032504,Leeds 007F,1781
E01011266,Leeds 008A,2613
E01011270,Leeds 008B,1720
E01011279,Leeds 008C,1319
E01011280,Leeds 008D,2073
E01011265,Leeds 009A,1955
E01011267,Leeds 009B,1699
E01011271,Leeds 009C,2172
E01011272,Leeds 009D,1455
E01011268,Leeds 010A,1395
E01011273,Leeds 010B,1483
E01011274,Leeds 010C,1360
E01011275,Leeds 010D,1411
E01011264,Leeds 011A,1284
E01011269,Leeds 011B,1569
E01011276,Leeds 011C,1736
E01011578,Leeds 011D,1273
E01011554,Leeds 012A,1445
E01011562,Leeds 012B,1567
E01011563,Leeds 012C,1392
E01011564,Leeds 012D,1558
E01011567,Leeds 012E,1472
E01011376,Leeds 013A,1662
E01011377,Leeds 013B,1389
E01011378,Leeds 013C,1418
E01011382,Leeds 013D,1609
E01011277,Leeds 014A,1605
E01011278,Leeds 014B,1622
E01011579,Leeds 014C,1340
E01011580,Leeds 014D,1374
E01011556,Leeds 015A,1650
E01011557,Leeds 015B,1421
E01011565,Leeds 015C,1482
E01011566,Leeds 015D,1337
E01011568,Leeds 015E,1915
E01011380,Leeds 016A,1550
E01011381,Leeds 016B,1475
E01011385,Leeds 016C,1338
E01011386,Leeds 016D,1815
E01011379,Leeds 017A,1611
E01011384,Leeds 017B,1518
E01032501,Leeds 017E,1149
E01032502,Leeds 017F,1875
E01011555,Leeds 018A,1383
E01011558,Leeds 018B,1778
E01011559,Leeds 018C,1474
E01011560,Leeds 018D,1937
E01011383,Leeds 019A,1673
E01011388,Leeds 019B,1578
E01011684,Leeds 019C,1557
E01011695,Leeds 019D,1710
E01011650,Leeds 020A,1522
E01011651,Leeds 020B,1490
E01011653,Leeds 020C,1376
E01011655,Leeds 020D,1478
E01011455,Leeds 021A,1371
E01011456,Leeds 021B,2048
E01011459,Leeds 021C,1679
E01011461,Leeds 021D,1564
E01011311,Leeds 022A,1265
E01011649,Leeds 022B,1581
E01011715,Leeds 022C,1354
E01011719,Leeds 022D,1430
E01011509,Leeds 023A,1436
E01011511,Leeds 023B,1414
E01011512,Leeds 023C,1722
E01011515,Leeds 023D,1495
E01011516,Leeds 023E,1744
E01011508,Leeds 024A,1433
E01011517,Leeds 024B,1716
E01011652,Leeds 024C,1398
E01011654,Leeds 024D,1473
E01011505,Leeds 025A,1702
E01011506,Leeds 025B,1539
E01011507,Leeds 025C,1656
E01011510,Leeds 025D,1528
E01011514,Leeds 025E,1783
E01011452,Leeds 027A,1651
E01011454,Leeds 027B,1607
E01011457,Leeds 027C,1630
E01011458,Leeds 027D,2677
E01011465,Leeds 027E,1750
E01011453,Leeds 028A,1566
E01011460,Leeds 028B,1538
E01011462,Leeds 028C,1728
E01011463,Leeds 028D,1692
E01011464,Leeds 028E,1810
E01011714,Leeds 029A,1947
E01011716,Leeds 029B,1588
E01011717,Leeds 029C,1621
E01011718,Leeds 029D,1972
E01011720,Leeds 029E,1510
E01011296,Leeds 030A,1625
E01011297,Leeds 030B,1724
E01011309,Leeds 030C,1505
E01011310,Leeds 030D,1627
E01011513,Leeds 031A,2238
E01011688,Leeds 031B,1518
E01011689,Leeds 031C,1611
E01011691,Leeds 031D,1500
E01011504,Leeds 032A,1564
E01011641,Leeds 032B,1612
E01011642,Leeds 032C,1383
E01011645,Leeds 032D,1510
E01011484,Leeds 033A,1599
E01011485,Leeds 033B,1628
E01011686,Leeds 033E,1541
E01032493,Leeds 033F,1366
E01032494,Leeds 033G,1911
E01011350,Leeds 034A,1538
E01011351,Leeds 034B,1714
E01011352,Leeds 034C,1849
E01011353,Leeds 034D,1934
E01011656,Leeds 035A,1525
E01011657,Leeds 035B,1281
E01011659,Leeds 035C,1461
E01011661,Leeds 035D,1707
E01011643,Leeds 037A,1520
E01011644,Leeds 037B,1339
E01011646,Leeds 037C,1801
E01011647,Leeds 037D,1880
E01011648,Leeds 037E,1859
E01011354,Leeds 038A,1574
E01011355,Leeds 038B,1490
E01011357,Leeds 038C,2056
E01011450,Leeds 038D,1301
E01011588,Leeds 039A,1777
E01011589,Leeds 039B,1597
E01011590,Leeds 039C,1699
E01011592,Leeds 039D,1612
E01011593,Leeds 039E,1966
E01011421,Leeds 040A,1526
E01011425,Leeds 040B,1552
E01011658,Leeds 040C,1708
E01011660,Leeds 040D,1826
E01011662,Leeds 040E,1366
E01011721,Leeds 041A,1565
E01011722,Leeds 041B,2115
E01011723,Leeds 041C,1716
E01011724,Leeds 041D,1869
E01011356,Leeds 042A,2017
E01011358,Leeds 042B,1551
E01011359,Leeds 042C,1895
E01011360,Leeds 042D,2232
E01011361,Leeds 042E,2863
E01011435,Leeds 044A,1825
E01011440,Leeds 044D,1685
E01011441,Leeds 044E,1959
E01035040,Leeds 044G,1738
E01035041,Leeds 044H,1302
E01011477,Leeds 045A,2024
E01011480,Leeds 045B,1639
E01011488,Leeds 045C,1464
E01011489,Leeds 045D,1765
E01011324,Leeds 046A,1837
E01011325,Leeds 046B,1644
E01011326,Leeds 046C,1486
E01011332,Leeds 046D,1620
E01011423,Leeds 047A,1735
E01011424,Leeds 047B,1938
E01011427,Leeds 047C,2045
E01011431,Leeds 047D,2097
E01011422,Leeds 048A,1616
E01011426,Leeds 048B,1698
E01011428,Leeds 048C,2138
E01011429,Leeds 048D,2059
E01011663,Leeds 050A,1701
E01011664,Leeds 050B,1323
E01011665,Leeds 050C,1387
E01011667,Leeds 050D,1584
E01011323,Leeds 051A,1297
