LSOA11CD,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
E01011264,22131,7474.0,16498.0,17684,14522,234,19508.0,E,33755,5780,7,3.0,5.0,6,5,1,6.0,2
E01011265,29019,19075.0,18707.0,16504,15771,488,24071.0,E,33755,14441,9,6.0,6.0,5,5,1,8.0,5
E01011266,19228,5686.0,27352.0,32347,13354,878,33449.0,E,33755,31392,6,2.0,9.0,10,4,1,10.0,10
E01011267,23300,10358.0,9458.0,12190,15848,378,14361.0,E,33755,2959,7,4.0,3.0,4,5,1,5.0,1
E01011268,19799,4748.0,9458.0,8951,16271,265,10129.0,E,33755,943,6,2.0,3.0,3,5,1,4.0,1
E01011269,27647,11679.0,9458.0,14382,14772,148,17490.0,E,33755,5925,9,4.0,3.0,5,5,1,6.0,2
E01011270,10980,2959.0,23805.0,33551,9506,1102,16586.0,E,33755,21394,4,1.0,8.0,10,3,1,5.0,7
E01011271,23878,6441.0,23805.0,26585,13502,537,31538.0,E,33755,22581,8,2.0,8.0,8,4,1,10.0,7
E01011272,20245,2861.0,23805.0,30431,12769,210,32070.0,E,33755,25195,6,1.0,8.0,10,4,1,10.0,8
E01011273,26810,4955.0,18707.0,18332,15811,146,21845.0,E,33755,9331,8,2.0,6.0,6,5,1,7.0,3
E01011274,29506,13879.0,9458.0,6686,15719,44,7649.0,E,33755,3839,9,5.0,3.0,2,5,1,3.0,2
E01011275,21885,6451.0,17166.0,17592,14517,93,19498.0,E,33755,5649,7,2.0,6.0,6,5,1,6.0,2
E01011276,25084,13264.0,23805.0,20668,14333,53,27661.0,E,33755,16082,8,4.0,8.0,7,5,1,9.0,5
E01011277,14866,6670.0,27352.0,26314,11668,39,30213.0,E,33755,18966,5,2.0,9.0,8,4,1,9.0,6
E01011278,14594,15914.0,27352.0,27577,13141,11,27535.0,E,33755,19009,5,5.0,9.0,9,4,1,9.0,6
E01011279,17337,14239.0,23805.0,22375,15511,553,24213.0,E,33755,12120,6,5.0,8.0,7,5,1,8.0,4
E01011280,23950,12412.0,23805.0,28757,16163,751,31937.0,E,33755,26118,8,4.0,8.0,9,5,1,10.0,8
E01011281,25445,26389.0,18707.0,7577,18760,244,10859.0,E,33755,8465,8,8.0,6.0,3,6,1,4.0,3
E01011282,30861,14612.0,9458.0,3243,21742,496,5602.0,E,33755,5789,10,5.0,3.0,1,7,1,2.0,2
E01011283,17223,20525.0,9458.0,1267,18544,274,4130.0,E,33755,1101,6,7.0,3.0,1,6,1,2.0,1
E01011284,31419,22693.0,6632.0,3626,23262,113,1351.0,E,33755,7964,10,7.0,2.0,2,7,1,1.0,3
